tm,ma,mx,my,mz,ta,aa,ax,ay,az
114975.51238975,674.5606177382411,162.3966369628906,-12.57264709472656,-654.60009765625,114975.50407575,1.109250775076217,0.0995635986328125,-0.0168609619140625,-1.104644775390625
114975.48281575,674.1850317745699,161.5235443115234,-12.39802551269531,-654.4324951171875,114975.47448875,1.128225027056435,0.05535888671875,0.0188140869140625,-1.126708984375
114975.45324175,673.494377453846,162.0473937988281,-12.22340393066406,-653.5946044921875,114975.44490175,1.032463355364106,0.1116485595703125,0.037841796875,-1.025711059570312
114975.42366975,673.5077528867192,160.1265716552734,-11.35031127929688,-654.0973510742188,114975.41529875,1.04395236745811,0.0544586181640625,0.0462646484375,-1.04150390625
114975.39410275,674.2154618913103,158.2057495117188,-12.57264709472656,-655.2704467773438,114975.38572075,1.015755553405532,-0.1329345703125,0.0006256103515625,-1.00701904296875
114975.36453275,673.9397871819053,157.6819000244141,-13.09651184082031,-655.1028442382812,114975.35613475,0.9391683968097889,-0.08935546875,0.0019073486328125,-0.934906005859375
114975.33495775,673.143541252706,157.8565216064453,-11.87417602539062,-654.264892578125,114975.32654875,0.9355599324324587,-0.063812255859375,0.0350189208984375,-0.9327239990234375
114975.30538375,672.5990994882487,157.6819000244141,-11.00106811523438,-653.7621459960938,114975.29696375,0.9468528578253717,-0.02899169921875,0.0090789794921875,-0.9463653564453125
114975.27581375,672.6422972962703,157.1580352783203,-11.17568969726562,-653.9297485351562,114975.26737875,0.9298331995251955,-0.0325469970703125,0.035400390625,-0.9285888671875
114975.24625375,673.4191584451216,156.9834136962891,-11.35031127929688,-654.7677001953125,114975.23778375,1.007335750376995,-0.108367919921875,0.0305938720703125,-1.001022338867188
114975.21667075,673.5712146431038,156.2849426269531,-10.65182495117188,-655.1028442382812,114975.20821175,1.068232257318021,-0.1846771240234375,0.0223388671875,-1.051910400390625
114975.18709375,673.0028194114032,155.2372131347656,-10.65182495117188,-654.7677001953125,114975.17862675,1.127830894177156,-0.157470703125,0.0270843505859375,-1.116455078125
114975.15752275,672.0640688958177,154.7133636474609,-10.47720336914062,-653.9297485351562,114975.14904075,1.115968555777863,-0.143218994140625,0.00335693359375,-1.106735229492188
114975.12793975,672.1915470722762,155.4118347167969,-8.03253173828125,-653.9297485351562,114975.11945375,1.061431518113281,-0.063232421875,0.042327880859375,-1.058700561523438
114975.09827375,673.0535628933878,155.5864562988281,-8.556396484375,-654.7677001953125,114975.08986675,1.089417157356493,-0.0019378662109375,-0.0128021240234375,-1.089340209960938
114975.06869875,671.9463832554147,155.7610778808594,-8.03253173828125,-653.5946044921875,114975.06027075,1.159638094567438,0.018157958984375,-0.0078125,-1.159469604492188
114975.03912275,671.5753942805634,154.8879699707031,-7.5086669921875,-653.427001953125,114975.03069975,1.391352928520507,-0.1311492919921875,0.5762939453125,-1.25958251953125
114975.00954375,674.0809935681557,155.0625915527344,-9.080245971679688,-655.9407958984375,114975.00111375,1.158480336548295,-0.077606201171875,0.3051605224609375,-1.1148681640625
114974.97997275,673.1123841322553,155.0625915527344,-9.778732299804688,-654.935302734375,114974.97153275,0.9167622984173345,0.168701171875,0.0771636962890625,-0.897796630859375
114974.95039775,672.2593643711047,152.0940551757812,-8.905624389648438,-654.7677001953125,114974.94195275,0.9746297045108715,0.2239837646484375,0.007080078125,-0.948516845703125
114974.92082675,673.987368524184,151.0463409423828,-9.254867553710938,-656.7787475585938,114974.91236875,0.6869944591970523,0.0978851318359375,-0.0911865234375,-0.6738433837890625
114974.89125675,674.8162001380837,150.3478546142578,-9.604110717773438,-657.7843017578125,114974.88277575,0.8185991880994772,-0.0316162109375,-0.0108184814453125,-0.8179168701171875
114974.86168475,674.5455733875855,148.9508972167969,-12.04878234863281,-657.7843017578125,114974.85320175,0.6807010079965188,-0.133392333984375,-0.0505218505859375,-0.66558837890625
114974.83210675,676.2798983536776,148.4270324707031,-14.6680908203125,-659.6277465820312,114974.82361575,0.7148422069545936,-0.19805908203125,-0.019866943359375,-0.6865692138671875
114974.80255575,674.7585281963613,145.9823608398438,-14.31884765625,-658.6221923828125,114974.79403375,0.7313901964196574,-0.2497711181640625,0.0142974853515625,-0.6872711181640625
114974.77298175,675.9982200904215,147.0300750732422,-15.71580505371094,-659.6277465820312,114974.76444775,0.7248506765994182,-0.2294464111328125,0.0066070556640625,-0.6875457763671875
114974.74341375,675.0671753754585,146.8554534912109,-12.04878234863281,-658.789794921875,114974.73486275,0.9812919944128145,-0.26177978515625,0.2311248779296875,-0.91705322265625
114974.71385275,673.7708592803261,144.0615386962891,-9.604110717773438,-658.1194458007812,114974.70525575,1.039411966902424,-0.299530029296875,0.33154296875,-0.9384765625
114974.68428275,671.3799959452634,140.5691375732422,-8.556396484375,-656.443603515625,114974.67568275,1.306321087302755,-0.56854248046875,0.6618194580078125,-0.97222900390625
114974.65471475,668.5110069397247,135.5051574707031,-6.635574340820312,-654.60009765625,114974.64609375,0.9430673852741445,-0.4472808837890625,0.5659332275390625,-0.60748291015625
114974.62514175,664.9977371922442,135.3305358886719,-1.22235107421875,-651.0807495117188,114974.61650675,1.090033053079283,-0.4416046142578125,0.801910400390625,-0.5916900634765625
114974.59557175,661.3579970000848,132.7112274169922,3.492385864257812,-647.8965454101562,114974.58692075,1.161046852001089,-0.3802642822265625,0.892578125,-0.63775634765625
114974.56599775,656.4691315198319,132.7112274169922,7.683273315429688,-642.868896484375,114974.55733275,1.246634410702038,-0.2445831298828125,0.9778900146484375,-0.733489990234375
114974.53641475,654.8119428580515,133.2350921630859,10.65180969238281,-641.0254516601562,114974.52775375,1.352527674306857,-0.1145782470703125,1.067276000976562,-0.8228759765625
