tm,ma,mx,my,mz,ta,aa,ax,ay,az
116589.432750125,671.493653133899,145.1092529296875,-49.41748046875,-653.7621459960938,116589.407697125,0.9193859859109785,-0.109832763671875,0.0378265380859375,-0.912017822265625
116589.403183125,671.9841764966836,144.9346313476562,-49.94132995605469,-654.264892578125,116589.378083125,1.004507729536005,-0.110198974609375,0.0402069091796875,-0.9976348876953125
116589.373631125,670.3897141461338,144.4107818603516,-49.7667236328125,-652.756591796875,116589.348473125,1.009872226142426,-0.109375,0.01318359375,-1.00384521484375
116589.344072125,672.0337271590001,145.2838745117188,-49.59210205078125,-654.264892578125,116589.318864125,1.017958807462127,-0.1020050048828125,0.0655517578125,-1.010711669921875
116589.314513125,671.5807837048112,144.9346313476562,-48.89361572265625,-653.9297485351562,116589.289255125,1.01962210683818,-0.1237945556640625,0.06610107421875,-1.009918212890625
116589.284963125,671.9831016292932,143.8869171142578,-48.54437255859375,-654.60009765625,116589.259647125,1.02682059748506,-0.1255950927734375,0.0957489013671875,-1.014602661132812
116589.255401125,672.2210839988708,144.4107818603516,-48.02052307128906,-654.7677001953125,116589.230039125,0.9660946666792846,-0.1704254150390625,0.106903076171875,-0.944915771484375
116589.225849125,673.027461188322,144.0615386962891,-46.62355041503906,-655.773193359375,116589.200426125,1.024228606060247,-0.153564453125,0.1214599609375,-1.005340576171875
116589.196276125,674.1055519059346,146.8554534912109,-48.718994140625,-656.1083984375,116589.170810125,1.055518961368757,-0.1616973876953125,0.14239501953125,-1.033294677734375
116589.166703125,672.0836359974633,145.6331176757812,-49.24285888671875,-654.264892578125,116589.141194125,1.046820504479107,-0.119476318359375,0.12786865234375,-1.032089233398438
116589.137138125,672.3965119737054,145.1092529296875,-48.3697509765625,-654.7677001953125,116589.111580125,1.022854846730003,-0.09722900390625,0.0691986083984375,-1.015869140625
116589.107570125,672.8738857810538,145.8077392578125,-48.3697509765625,-655.1028442382812,116589.081965125,0.9957504883619175,-0.079986572265625,0.0421295166015625,-0.99163818359375
116589.078007125,672.3994094386238,146.8554534912109,-47.67127990722656,-654.4324951171875,116589.052350125,0.9822333655792124,-0.03704833984375,0.014312744140625,-0.9814300537109375
116589.048472125,672.5738934020997,145.45849609375,-49.7667236328125,-654.7677001953125,116589.022745125,0.9944020145005739,-0.063720703125,0.019989013671875,-0.992156982421875
116589.018885125,672.7755184671203,146.8554534912109,-48.3697509765625,-654.7677001953125,116588.993122125,0.9955053550408477,-0.094818115234375,0.037628173828125,-0.990264892578125
116588.989329125,672.0109813497372,146.6808319091797,-49.59210205078125,-653.9297485351562,116588.963511125,0.9988172651425192,-0.136749267578125,0.126373291015625,-0.9813079833984375
116588.959764125,671.731871092667,145.6331176757812,-48.89361572265625,-653.9297485351562,116588.933896125,1.03400968772221,-0.1612396240234375,0.13299560546875,-1.012664794921875
116588.930196125,672.8119793786962,145.9823608398438,-49.24285888671875,-654.935302734375,116588.904284125,1.015197924768345,-0.1417999267578125,0.1111297607421875,-0.99908447265625
116588.900870125,671.7355202374514,147.0300750732422,-49.24285888671875,-653.5946044921875,116588.874671125,1.012791081312652,-0.1477508544921875,0.1094818115234375,-0.9959564208984375
116588.871303125,672.2098401417301,146.3315887451172,-48.89361572265625,-654.264892578125,116588.845057125,1.006660712577936,-0.1273193359375,0.0570068359375,-0.9969482421875
116588.841742125,672.0171699054965,148.4270324707031,-48.89361572265625,-653.5946044921875,116588.815444125,1.014531304227282,-0.09088134765625,0.0200347900390625,-1.01025390625
116588.812184125,673.5528056475991,145.45849609375,-49.7667236328125,-655.773193359375,116588.785833125,0.9621693589445337,-0.1040802001953125,0.0150146484375,-0.9564056396484375
116588.782623125,672.2247449995835,147.2046966552734,-48.718994140625,-654.0973510742188,116588.756225125,0.9505612384496398,-0.1129150390625,0.0623016357421875,-0.9417724609375
116588.753056125,673.3057016281866,147.2046966552734,-50.11595153808594,-655.1028442382812,116588.726615125,0.971041918882433,-0.1056671142578125,0.05010986328125,-0.9639739990234375
116588.723498125,673.3049781469635,147.5539398193359,-49.0682373046875,-655.1028442382812,116588.697001125,1.049916023516193,-0.0450592041015625,0.1244964599609375,-1.041534423828125
116588.693930125,672.8669072384425,147.7285614013672,-49.24285888671875,-654.60009765625,116588.667392125,1.071285512295859,-0.0340728759765625,0.10546875,-1.065536499023438
116588.664364125,672.713899052898,147.0300750732422,-49.24285888671875,-654.60009765625,116588.637783125,1.045179131850394,-0.0969696044921875,0.156280517578125,-1.02886962890625
116588.634797125,672.7661153733958,147.7285614013672,-47.84590148925781,-654.60009765625,116588.608171125,0.9596686725976827,-0.1848297119140625,0.159027099609375,-0.9281768798828125
116588.605234125,673.7672905905373,149.6493682861328,-49.0682373046875,-655.1028442382812,116588.578556125,0.938420926582497,-0.1686553955078125,0.1607208251953125,-0.9090423583984375
116588.575667125,672.3780425440423,147.9031677246094,-48.718994140625,-654.0973510742188,116588.548946125,0.9107043021685265,-0.1124420166015625,0.119293212890625,-0.8958282470703125
