tm,ma,mx,my,mz,ta,aa,ax,ay,az
244285.8610311667,661.8088375318609,137.9498291015625,-7.68328857421875,-647.2261962890625,244285.8390471667,1.160416763891612,0.2533721923828125,-0.0020294189453125,-1.132415771484375
244285.8314651667,661.7934037061497,137.0767364501953,-7.85791015625,-647.393798828125,244285.8094461667,1.047586715202899,0.235595703125,-0.054931640625,-1.019271850585938
244285.8019071667,662.3050005213071,136.3782501220703,-7.85791015625,-648.0641479492188,244285.7798471667,0.9142480668479771,0.1882171630859375,-0.0445404052734375,-0.8935546875
244285.7723441667,662.5029222841608,136.5528717041016,-7.68328857421875,-648.2317504882812,244285.7502501667,0.8775183096551589,0.2896270751953125,-0.0424652099609375,-0.8272552490234375
244285.7418611667,662.8453823926179,137.4259796142578,-7.5086669921875,-648.3993530273438,244285.7206501667,0.7357501517640225,0.210205078125,-0.05291748046875,-0.703094482421875
244285.7123071667,661.3261768063693,135.5051574707031,-9.429489135742188,-647.2261962890625,244285.6910511667,0.9636079897210366,0.1718902587890625,-0.0839691162109375,-0.944427490234375
244285.6827411667,663.1049887588928,137.0767364501953,-7.85791015625,-648.7344970703125,244285.6614491667,1.022103347523277,0.1629791259765625,-0.0894775390625,-1.005050659179688
244285.6531831667,662.6117329901789,133.7589569091797,-9.429489135742188,-648.902099609375,244285.6318471667,0.9646812565890421,0.1744232177734375,-0.02813720703125,-0.9483642578125
244285.6236291667,663.3475811291547,135.8543853759766,-8.03253173828125,-649.2373046875,244285.6022441667,0.8406535095592791,0.15447998046875,-0.0068817138671875,-0.8263092041015625
244285.5940761667,662.6979975957051,134.9812927246094,-9.604110717773438,-648.7344970703125,244285.5726421667,0.7913419840574304,0.10809326171875,0.0101318359375,-0.7838592529296875
244285.5645181667,663.501865825696,135.6797790527344,-9.953353881835938,-649.4048461914062,244285.5430411667,0.8770658877468871,0.06329345703125,0.008209228515625,-0.8747406005859375
244285.5349571667,663.4191946209344,136.2036285400391,-8.03253173828125,-649.2373046875,244285.5134421667,0.9938845306948273,0.06329345703125,0.0003509521484375,-0.9918670654296875
244285.5054021667,661.6237666800366,134.6320495605469,-8.2071533203125,-647.72900390625,244285.4838391667,1.05096114778619,0.0414276123046875,0.02484130859375,-1.049850463867188
244285.4758491667,662.7482068500519,134.4574279785156,-9.080245971679688,-648.902099609375,244285.4542391667,1.013602813144064,0.01751708984375,0.0571136474609375,-1.0118408203125
244285.4463101667,663.5464853261357,135.1559143066406,-9.080245971679688,-649.5724487304688,244285.4246331667,0.9576343900799236,-0.0210418701171875,0.0174102783203125,-0.957244873046875
244285.4167291667,663.6177097680288,135.5051574707031,-9.080245971679688,-649.5724487304688,244285.3950291667,1.015632083184961,0.0208282470703125,-0.0383453369140625,-1.014694213867188
244285.3871871667,662.4982531077909,135.6797790527344,-8.556396484375,-648.3993530273438,244285.3654271667,1.164573357021384,0.1263427734375,-0.077911376953125,-1.155075073242188
244285.3576221667,664.2827731082095,137.2513580322266,-7.33404541015625,-649.9075927734375,244285.3358261667,1.283266587952484,0.1587371826171875,-0.1118011474609375,-1.26849365234375
244285.3280641667,662.3553461617593,135.8543853759766,-7.33404541015625,-648.2317504882812,244285.3062221667,1.189404343812892,0.13616943359375,-0.045440673828125,-1.180709838867188
244285.2985031667,662.8308505009865,136.5528717041016,-7.68328857421875,-648.56689453125,244285.2766171667,1.211218498105932,0.1887664794921875,-0.045806884765625,-1.195541381835938
244285.2689601667,663.7939394247907,135.6797790527344,-7.159423828125,-649.7400512695312,244285.2470141667,1.224342838417211,0.2073211669921875,-0.0615081787109375,-1.205093383789062
244285.2393871667,663.1416596556573,135.6797790527344,-7.5086669921875,-649.0697021484375,244285.2174111667,1.036629317080762,0.22528076171875,-0.07489013671875,-1.009078979492188
244285.2098301667,663.8518140195742,136.0290069580078,-5.762466430664062,-649.7400512695312,244285.1878091667,0.96425728768923,0.2675933837890625,-0.0623016357421875,-0.924285888671875
244285.1802751667,662.6804896876937,136.7274932861328,-5.413223266601562,-648.3993530273438,244285.1582081667,0.9563329842481153,0.2596893310546875,-0.037567138671875,-0.9196319580078125
244285.1507131667,662.7960894213503,135.6797790527344,-5.762466430664062,-648.7344970703125,244285.1285911667,0.9411328180061995,0.220489501953125,-0.0266876220703125,-0.91455078125
244285.1211711667,663.5510939751986,136.9021148681641,-6.98480224609375,-649.2373046875,244285.0990051667,0.9196998619099165,0.197784423828125,-0.014984130859375,-0.8980560302734375
244285.0916051667,663.8034978569839,136.5528717041016,-6.635574340820312,-649.5724487304688,244285.0694141667,0.8729490609653756,0.180145263671875,0.0162811279296875,-0.85400390625
244285.0620451667,662.1464235435369,135.6797790527344,-6.460952758789062,-648.0641479492188,244285.0398151667,0.7935621811078476,0.1694488525390625,0.0090179443359375,-0.77520751953125
244285.0324881667,660.6818241579707,134.9812927246094,-5.413223266601562,-646.7234497070312,244285.0102171667,0.7784800073983478,0.1580352783203125,0.02899169921875,-0.76171875
244285.0029521667,662.4307696107975,137.0767364501953,-6.111709594726562,-648.0641479492188,244284.9806171667,0.8188890462047043,0.14678955078125,0.0359039306640625,-0.8048248291015625
244284.9734321667,662.5206266989603,135.1559143066406,-5.238601684570312,-648.56689453125,244284.9510201667,0.8950908772147498,0.1138916015625,0.058135986328125,-0.8859100341796875
244284.9438681667,661.9386718311804,135.5051574707031,-5.587844848632812,-647.8965454101562,244284.9214201667,0.9792062681059839,0.0482025146484375,0.0778656005859375,-0.97491455078125
244284.9142961667,662.5532952825836,136.0290069580078,-7.159423828125,-648.3993530273438,244284.8918211667,1.034612309060066,0.054901123046875,0.1075439453125,-1.027542114257812
