tm,ma,mx,my,mz,ta,aa,ax,ay,az
244338.5889345,670.9085838567727,170.0799255371094,-10.82644653320312,-648.902099609375,244338.5593745,1.068815051004516,0.322174072265625,-0.11065673828125,-1.013076782226562
244338.5593755,671.1189023957054,172.1753540039062,-10.82644653320312,-648.56689453125,244338.5297725,0.9974454902233738,0.3222808837890625,-0.1112823486328125,-0.9373626708984375
244338.5298215,670.6472089956861,170.9530181884766,-11.00106811523438,-648.3993530273438,244338.5001705,1.019250717198696,0.2950286865234375,-0.1180877685546875,-0.96844482421875
244338.5002605,670.4813242734197,170.2545318603516,-11.69955444335938,-648.3993530273438,244338.4705685,0.9589280490202376,0.266510009765625,-0.1158599853515625,-0.9138336181640625
244338.4707205,670.6381960249971,169.0321960449219,-10.47720336914062,-648.902099609375,244338.4409585,0.8783693118558841,0.2372589111328125,-0.0522918701171875,-0.8441009521484375
244338.4411565,672.3047970906052,169.9053039550781,-9.604110717773438,-650.410400390625,244338.4409585,0.8783693118558841,0.2372589111328125,-0.0522918701171875,-0.8441009521484375
244338.4115915,670.7825257219727,170.2545318603516,-10.30259704589844,-648.7344970703125,244338.3817625,0.9919069023155193,0.250091552734375,-0.09796142578125,-0.9548492431640625
244338.3820305,672.2293424361874,170.0799255371094,-12.22340393066406,-650.2427978515625,244338.3521605,1.017048573835594,0.3299407958984375,-0.1113128662109375,-0.9555816650390625
244338.3524655,671.5680389337919,169.5560607910156,-9.604110717773438,-649.7400512695312,244338.3225425,1.029174022156195,0.26263427734375,-0.0930633544921875,-0.9907379150390625
244338.3229035,671.0452485737405,169.3814392089844,-10.12797546386719,-649.2373046875,244338.2929505,0.989547187383976,0.2551422119140625,-0.108428955078125,-0.949920654296875
244338.2933425,672.518769146026,170.0799255371094,-10.12797546386719,-650.5780029296875,244338.2633475,0.9882929584738777,0.28289794921875,-0.136016845703125,-0.9371185302734375
244338.2637815,671.0452485737405,169.3814392089844,-10.12797546386719,-649.2373046875,244338.2337465,0.994111788346457,0.2740020751953125,-0.127227783203125,-0.9470977783203125
244338.2342255,671.0917162840957,170.7783966064453,-11.17568969726562,-648.902099609375,244338.2041485,1.010689128989619,0.2625579833984375,-0.1018829345703125,-0.9706573486328125
244338.2046665,670.2160455494125,169.2068176269531,-11.69955444335938,-648.3993530273438,244338.1745425,1.088846305146568,0.2702789306640625,-0.1256561279296875,-1.047256469726562
244338.1751215,671.7162906841916,169.3814392089844,-11.52493286132812,-649.9075927734375,244338.1449385,1.139200124538149,0.283203125,-0.0971527099609375,-1.099151611328125
244338.1455415,671.6563001107634,169.9053039550781,-9.604110717773438,-649.7400512695312,244338.1153445,0.9084904134294568,0.130889892578125,-0.098907470703125,-0.8935546875
244338.1159775,673.1325970882004,167.2859954833984,-11.17568969726562,-651.918701171875,244338.0857445,0.9808284279796233,0.1554412841796875,-0.136566162109375,-0.9587554931640625
244338.0864185,671.6962233463314,167.4606170654297,-9.953353881835938,-650.410400390625,244338.0561395,1.006814881057411,0.155242919921875,-0.10858154296875,-0.98883056640625
244338.0568545,671.8229781507108,167.2859954833984,-10.47720336914062,-650.5780029296875,244338.0265495,0.9754142907359157,0.1466064453125,-0.0878143310546875,-0.9603271484375
